jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size,s,actual_angle
2.0453515744115634e-09,2.5566894469116577e-10,2.0453516419405145e-09,0.0011547712158961332,0,8192,0.045,0.30618621784789724
2.7778500500106014e-09,3.4723125123328213e-10,2.777850210587981e-09,0.0017581425211830037,1,8192,0.045,0.30618621784789724
1.8440164564205105e-09,2.3050205623122886e-10,1.8440164827032298e-09,0.0009361304819499594,2,8192,0.045,0.30618621784789724
1.60898448487884e-09,2.0112306017837662e-10,1.608984498686147e-09,0.000648692142188878,3,8192,0.045,0.30618621784789724
2.56698103813607e-09,3.2087262329653915e-10,2.566981245191101e-09,0.002054733219242877,4,8192,0.045,0.30618621784789724
2.7650751068690975e-09,3.4563438468257323e-10,2.7650752245031464e-09,0.0014569508438402323,5,8192,0.045,0.30618621784789724
1.8887571586866413e-09,2.3609464312582294e-10,1.8887572134068734e-09,0.0012600546141623425,6,8192,0.045,0.30618621784789724
2.36215784010496e-09,2.952697280270674e-10,2.362157903658642e-09,0.0011041075258759747,7,8192,0.045,0.30618621784789724
2.0199183752567743e-09,2.5248979586342233e-10,2.0199184086543553e-09,0.0009117585815285878,8,8192,0.045,0.30618621784789724
1.9764612469582232e-09,2.4705765419874165e-10,1.9764613004313842e-09,0.0012339295770171788,9,8192,0.045,0.30618621784789724
1.6903927595438604e-09,2.1129909444959134e-10,1.6903927753323798e-09,0.0006712321127952947,10,8192,0.045,0.30618621784789724
1.4767873816725773e-09,1.845984223300664e-10,1.4767873938007617e-09,0.0006972799534477048,11,8192,0.045,0.30618621784789724
2.2492412198502464e-09,2.8115514844413897e-10,2.2492413490387892e-09,0.0016723084638119445,12,8192,0.045,0.30618621784789724
3.808144374700142e-09,4.760180256653875e-10,3.808145052208345e-09,0.0024926092243955367,13,8192,0.045,0.30618621784789724
3.044070034106258e-09,3.80508738733346e-10,3.0440705310642434e-09,0.0025734294859045548,14,8192,0.045,0.30618621784789724
2.5763985104202327e-09,3.2204981077835956e-10,2.5763986071936596e-09,0.0014667527570964012,15,8192,0.045,0.30618621784789724
2.3948728359524244e-09,2.993591028728233e-10,2.394872887831777e-09,0.0010218332175888634,16,8192,0.045,0.30618621784789724
1.935840330807011e-09,2.4198004039885646e-10,1.935840361271647e-09,0.0009592556250268558,17,8192,0.045,0.30618621784789724
2.314702853621386e-09,2.8933785349911905e-10,2.3147029561351225e-09,0.0015727258241966524,18,8192,0.045,0.30618621784789724
1.8037882930984054e-09,2.2547353587194313e-10,1.8037883175898463e-09,0.0007568595286571167,19,8192,0.045,0.30618621784789724
2.094082192799579e-09,2.617602719880668e-10,2.0940822603797582e-09,0.0013665060075993551,20,8192,0.045,0.30618621784789724
1.982315105842004e-09,2.477893872806756e-10,1.982315136228401e-09,0.0007591734649903259,21,8192,0.045,0.30618621784789724
2.1488226356462777e-09,2.68602826773693e-10,2.148822721473213e-09,0.001590132607862671,22,8192,0.045,0.30618621784789724
2.2029228113728704e-09,2.7536534824242857e-10,2.202922913106639e-09,0.0014839774399142414,23,8192,0.045,0.30618621784789724
1.8847777097682746e-09,2.3559721261421677e-10,1.8847777451864365e-09,0.001112240867204406,24,8192,0.045,0.30618621784789724
2.003328610201421e-09,2.504160752059519e-10,2.003328644416645e-09,0.0009200474752333321,25,8192,0.045,0.30618621784789724
1.6745787622006647e-09,2.0932234450920242e-10,1.674578786708846e-09,0.0009981641623202364,26,8192,0.045,0.30618621784789724
2.5463450045040183e-09,3.1829312269128396e-10,2.5463450963990066e-09,0.0014120935537906831,27,8192,0.045,0.30618621784789724
2.378003794207707e-09,2.972504716764386e-10,2.3780038773924994e-09,0.0012855027026308363,28,8192,0.045,0.30618621784789724
2.731568062988537e-09,3.4144600475872386e-10,2.731568162663521e-09,0.0013314170907268164,29,8192,0.045,0.30618621784789724
2.0700796022335806e-09,2.58759947954466e-10,2.070079676624991e-09,0.0014038881118310087,30,8192,0.045,0.30618621784789724
2.484461065108973e-09,3.105576278622891e-10,2.4844612339516174e-09,0.0017941282030449202,31,8192,0.045,0.30618621784789724
2.033758615775797e-09,2.5421982591777935e-10,2.0337586495100467e-09,0.0009010377700384709,32,8192,0.045,0.30618621784789724
2.1942882431944217e-09,2.742860277900228e-10,2.194288326691381e-09,0.001278810218716231,33,8192,0.045,0.30618621784789724
2.4907137446170853e-09,3.1133921524581885e-10,2.4907138352192254e-09,0.001265867988342606,34,8192,0.045,0.30618621784789724
2.1793994246502965e-09,2.7242492671192565e-10,2.1793994684698628e-09,0.001096127680224157,35,8192,0.045,0.30618621784789724
2.4499533162266247e-09,3.062441571612313e-10,2.449953551973732e-09,0.0021221851039641138,36,8192,0.045,0.30618621784789724
1.9194406639171247e-09,2.3993008124799025e-10,1.9194407196499347e-09,0.001382497683712458,37,8192,0.045,0.30618621784789724
2.6060952890420457e-09,3.2576190714943924e-10,2.606095416428176e-09,0.001446454892411353,38,8192,0.045,0.30618621784789724
1.9552972774371206e-09,2.444121588813037e-10,1.955297302983884e-09,0.000851939499327159,39,8192,0.045,0.30618621784789724
2.2623442270950863e-09,2.827930250847358e-10,2.2623443327638846e-09,0.0015777225935913464,40,8192,0.045,0.30618621784789724
2.4048652041101107e-09,3.006081475935028e-10,2.4048652975584655e-09,0.0014703332926657708,41,8192,0.045,0.30618621784789724
1.8890795758439903e-09,2.361349459045706e-10,1.889079610273693e-09,0.001017650562243233,42,8192,0.045,0.30618621784789724
2.8928397411163334e-09,3.6160496436126867e-10,2.8928398460210723e-09,0.0012348032523892272,43,8192,0.045,0.30618621784789724
2.584686899941208e-09,3.2308585862813164e-10,2.584687023605832e-09,0.0015288451927855107,44,8192,0.045,0.30618621784789724
2.5221879430130268e-09,3.152734858625037e-10,2.5221881674650213e-09,0.002091535574155756,45,8192,0.045,0.30618621784789724
1.8690497319116877e-09,2.336312156998684e-10,1.869049757162648e-09,0.0009848588876213427,46,8192,0.045,0.30618621784789724
2.3994789881218508e-09,2.9993486923193385e-10,2.3994791251873727e-09,0.0017431198560551309,47,8192,0.045,0.30618621784789724
1.9476825849717967e-09,2.434603213914945e-10,1.9476826403311603e-09,0.001265936171671811,48,8192,0.045,0.30618621784789724
1.8503769869548096e-09,2.3129712219280458e-10,1.8503770246043017e-09,0.0009621913328814458,49,8192,0.045,0.30618621784789724
2.4722701224782855e-09,3.090337597201221e-10,2.4722703013475242e-09,0.0018159749991557561,50,8192,0.045,0.30618621784789724
2.4173934582949944e-09,3.021741793740019e-10,2.417393551506912e-09,0.0012650912772578238,51,8192,0.045,0.30618621784789724
1.9286024794790206e-09,2.410753085323881e-10,1.928602524358684e-09,0.0012053483773204476,52,8192,0.045,0.30618621784789724
2.3592758588560133e-09,2.9490948064304807e-10,2.3592759137025294e-09,0.0011194955264137718,53,8192,0.045,0.30618621784789724
3.1777260979910942e-09,3.972157512291218e-10,3.177726450623585e-09,0.002276825301549934,54,8192,0.045,0.30618621784789724
1.5762184685916917e-09,1.9702730815573362e-10,1.5762184819749829e-09,0.0007367212602957807,55,8192,0.045,0.30618621784789724
1.8279054467752847e-09,2.2848818022246802e-10,1.8279054667574491e-09,0.0007166961474105449,56,8192,0.045,0.30618621784789724
3.0328589833384296e-09,3.7910736669770755e-10,3.0328591823655114e-09,0.0019333411251469812,57,8192,0.045,0.30618621784789724
2.118944697152986e-09,2.6486808475945685e-10,2.1189447734623126e-09,0.0015011474081116916,58,8192,0.045,0.30618621784789724
2.2732786346309667e-09,2.841598276005682e-10,2.27327868993665e-09,0.0012622604543661708,59,8192,0.045,0.30618621784789724
