gate,s,budget,sample_size,primary,affinity,lower,upper
parent,0.045,0.25,0.0625,0.4317168678979476,0.9853160464856779,0.4317168678979476,0.4317168678979476
support,0.045,0.25,123.4567901234568,0.3415456991548043,0.9200444146293232,0.3415456991548043,0.3415456991548043
dictionary,0.045,0.25,30106823.0,0.9913987970207163,0.9913987970207163,0.4345621950515672,0.49569939851035816
parent,0.045,0.5,0.125,0.4039052649615195,0.9708477114621666,0.4039052649615195,0.4039052649615195
support,0.045,0.5,246.9135802469136,0.28185143082538655,0.846481724890614,0.28185143082538655,0.28185143082538655
dictionary,0.045,0.5,60213646.0,0.9828715747341235,0.9828715747341235,0.40785409995601485,0.4914357873670617
parent,0.045,1.0,0.25,0.36541951449488774,0.9425452788513264,0.36541951449488774,0.36541951449488774
support,0.045,1.0,493.8271604938272,0.20710808912126244,0.7165313105737892,0.20710808912126244,0.20710808912126244
dictionary,0.045,1.0,120427291.0,0.966036532697516,0.966036532697516,0.37079723542648063,0.483018266348758
parent,0.045,2.0,0.5,0.3133052495830616,0.8883916026849248,0.3133052495830616,0.3133052495830616
support,0.045,2.0,987.6543209876544,0.12410653949496181,0.5134171190325919,0.12410653949496181,0.12410653949496181
dictionary,0.045,2.0,240854582.0,0.9332265825062388,0.9332265825062388,0.3203558060333383,0.4666132912531194
parent,0.045,4.0,1.0,0.24572031392445132,0.7892396397210891,0.24572031392445132,0.24572031392445132
support,0.045,4.0,1975.3086419753088,0.05123521742987466,0.2635971381157266,0.05123521742987466,0.05123521742987466
dictionary,0.045,4.0,481709164.0,0.8709118542962737,0.8709118542962737,0.2542803721483436,0.43545592714813686
parent,0.045,8.0,2.0,0.1652751041795384,0.6228992089070746,0.1652751041795384,0.1652751041795384
support,0.045,8.0,3950.6172839506175,0.010460667668897007,0.06948345122280145,0.010460667668897007,0.010460667668897007
dictionary,0.045,8.0,963418329.0,0.7584874577361448,0.7584874577361448,0.17415618140857725,0.3792437288680724
parent,0.045,16.0,4.0,0.0844048416412127,0.3880034244570594,0.0844048416412127,0.0844048416412127
support,0.045,16.0,7901.234567901235,0.0005454175880626469,0.004827949993831428,0.0005454175880626469,0.0005454175880626469
dictionary,0.045,16.0,1926836657.0,0.5753032237081089,0.5753032237081089,0.09102989082603558,0.28765161185405447
parent,0.045,32.0,8.0,0.02582662208226502,0.15054665739040501,0.02582662208226502,0.02582662208226502
support,0.045,32.0,15802.46913580247,1.9298082184642186e-06,2.330910114293689e-05,1.9298082184642186e-06,1.9298082184642186e-06
dictionary,0.045,32.0,3853673315.0,0.33097379911397773,0.33097379911397773,0.028180027897276194,0.16548689955698886
parent,0.045,64.0,16.0,0.002960927959611326,0.022664296051423984,0.002960927959611326,0.002960927959611326
support,0.045,64.0,31604.93827160494,3.245450607900542e-11,5.433141960916619e-10,3.245450607900542e-11,3.245450607900542e-11
dictionary,0.045,64.0,7707346629.0,0.10954365573137048,0.10954365573137048,0.0030090072523932254,0.05477182786568524
parent,0.045,128.0,32.0,4.970551979907318e-05,0.0005136703155065928,4.970551979907318e-05,4.970551979907318e-05
support,0.045,128.0,63209.87654320988,1.2603888836154131e-20,2.9519031567472886e-19,1.2603888836154131e-20,1.2603888836154131e-20
dictionary,0.045,128.0,15414693259.0,0.01199981250755,0.01199981250755,3.6000171066419284e-05,0.005999906253775
parent,0.055,0.25,0.0625,0.43215288732496626,0.9855034310826251,0.43215288732496626,0.43215288732496626
support,0.055,0.25,82.64462809917356,0.34154569915480437,0.9200444146293232,0.34154569915480437,0.34154569915480437
dictionary,0.055,0.25,9031583.0,0.991441656327482,0.991441656327482,0.43472473267266737,0.495720828163741
parent,0.055,0.5,0.125,0.4045128928971582,0.9712170126756264,0.4045128928971582,0.4045128928971582
support,0.055,0.5,165.28925619834712,0.28185143082538655,0.846481724890614,0.28185143082538655,0.28185143082538655
dictionary,0.055,0.5,18063166.0,0.9829565579013809,0.9829565579013809,0.40808100675231856,0.49147827895069046
parent,0.055,1.0,0.25,0.36625393798829886,0.9432624857105678,0.36625393798829886,0.36625393798829886
support,0.055,1.0,330.57851239669424,0.2071080891212626,0.7165313105737892,0.2071080891212626,0.2071080891212626
dictionary,0.055,1.0,36126332.0,0.9662035947213308,0.9662035947213308,0.37110991742226784,0.4831017973606654
parent,0.055,2.0,0.5,0.31441792661424917,0.8897441169488792,0.31441792661424917,0.31441792661424917
support,0.055,2.0,661.1570247933885,0.12410653949496181,0.5134171190325919,0.12410653949496181,0.12410653949496181
dictionary,0.055,2.0,72252663.0,0.9335493873408619,0.9335493873408619,0.3207756005760506,0.46677469367043095
parent,0.055,4.0,1.0,0.24711931931428116,0.7916445936451408,0.24711931931428116,0.24711931931428116
support,0.055,4.0,1322.314049586777,0.051235217429874684,0.26359713811572666,0.051235217429874684,0.051235217429874684
dictionary,0.055,4.0,144505326.0,0.8715144586044987,0.8715144586044987,0.25481509607884323,0.43575722930224936
parent,0.055,8.0,2.0,0.16683899046205797,0.6267011626475801,0.16683899046205797,0.16683899046205797
support,0.055,8.0,2644.628099173554,0.010460667668897007,0.06948345122280149,0.010460667668897007,0.010460667668897007
dictionary,0.055,8.0,289010652.0,0.7595374515566924,0.7595374515566924,0.17476821354502986,0.3797687257783462
parent,0.055,16.0,4.0,0.08578669749548451,0.39275434726382863,0.08578669749548451,0.08578669749548451
support,0.055,16.0,5289.256198347108,0.000545417588062648,0.004827949993831433,0.000545417588062648,0.000545417588062648
dictionary,0.055,16.0,578021304.0,0.5768971403172349,0.5768971403172349,0.09159159855183058,0.28844857015861747
parent,0.055,32.0,8.0,0.026589520844268424,0.1542559772946361,0.026589520844268424,0.026589520844268424
support,0.055,32.0,10578.512396694216,1.9298082184642186e-06,2.3309101142936935e-05,1.9298082184642186e-06,1.9298082184642186e-06
dictionary,0.055,32.0,1156042609.0,0.3328103101894745,0.3328103101894745,0.028503102493880217,0.16640515509473724
parent,0.055,64.0,16.0,0.003125356168953074,0.02379490653112329,0.003125356168953074,0.003125356168953074
support,0.055,64.0,21157.02479338843,3.2454506079005654e-11,5.433141960916639e-10,3.2454506079005654e-11,3.2454506079005654e-11
dictionary,0.055,64.0,2312085218.0,0.11076270256841425,0.11076270256841425,0.0030765592871118685,0.055381351284207125
parent,0.055,128.0,32.0,5.5107394110808095e-05,0.0005661975768248938,5.5107394110808095e-05,5.5107394110808095e-05
support,0.055,128.0,42314.04958677686,1.2603888836154131e-20,2.95190315674731e-19,1.2603888836154131e-20,1.2603888836154131e-20
dictionary,0.055,128.0,4624170435.0,0.012268376291934557,0.012268376291934557,3.7629680202988514e-05,0.006134188145967279
parent,0.067,0.25,0.0625,0.43268543907144646,0.9857306573133018,0.43268543907144646,0.43268543907144646
support,0.067,0.25,55.69169079973267,0.34154569915480437,0.9200444146293233,0.34154569915480437,0.34154569915480437
dictionary,0.067,0.25,2763702.0,0.9915048340183767,0.9915048340183767,0.4349650783843958,0.4957524170091884
parent,0.067,0.5,0.125,0.4052552025064717,0.9716649287673139,0.4052552025064717,0.4052552025064717
support,0.067,0.5,111.38338159946534,0.28185143082538655,0.846481724890614,0.28185143082538655,0.28185143082538655
dictionary,0.067,0.5,5527404.0,0.9830818358818088,0.9830818358818088,0.4084165626883709,0.4915409179409044
parent,0.067,1.0,0.25,0.3672737417960082,0.9441327337963892,0.3672737417960082,0.3672737417960082
support,0.067,1.0,222.76676319893068,0.2071080891212626,0.7165313105737893,0.2071080891212626,0.2071080891212626
dictionary,0.067,1.0,11054807.0,0.9664498990241461,0.9664498990241461,0.3715724010617093,0.48322494951207307
parent,0.067,2.0,0.5,0.3157789473678555,0.8913866190258436,0.3157789473678555,0.3157789473678555
support,0.067,2.0,445.53352639786135,0.12410653949496181,0.513417119032592,0.12410653949496181,0.12410653949496181
dictionary,0.067,2.0,22109615.0,0.9340254044404771,0.9340254044404771,0.321396707855228,0.46701270222023855
parent,0.067,4.0,1.0,0.24883345848362576,0.7945701045783244,0.24883345848362576,0.24883345848362576
support,0.067,4.0,891.0670527957227,0.051235217429874684,0.2635971381157267,0.051235217429874684,0.051235217429874684
dictionary,0.067,4.0,44219230.0,0.8724034561401969,0.8724034561401969,0.25560676681082206,0.43620172807009844
parent,0.067,8.0,2.0,0.16876161337258938,0.6313416510896094,0.16876161337258938,0.16876161337258938
support,0.067,8.0,1782.1341055914454,0.010460667668897007,0.06948345122280151,0.010460667668897007,0.010460667668897007
dictionary,0.067,8.0,88438460.0,0.7610877902853603,0.7610877902853603,0.17567555770550247,0.38054389514268017
parent,0.067,16.0,4.0,0.08749701468667337,0.39859228040055406,0.08749701468667337,0.08749701468667337
support,0.067,16.0,3564.268211182891,0.000545417588062648,0.004827949993831437,0.000545417588062648,0.000545417588062648
dictionary,0.067,16.0,176876920.0,0.5792546245214527,0.5792546245214527,0.09242666918378023,0.28962731226072636
parent,0.067,32.0,8.0,0.027546566525709505,0.1588758059949139,0.027546566525709505,0.027546566525709505
support,0.067,32.0,7128.536422365782,1.9298082184642186e-06,2.3309101142936975e-05,1.9298082184642186e-06,1.9298082184642186e-06
dictionary,0.067,32.0,353753839.0,0.3355359210652773,0.3355359210652773,0.028986293810128072,0.16776796053263865
parent,0.067,64.0,16.0,0.0033372670798222535,0.025241521730533522,0.0033372670798222535,0.0033372670798222535
support,0.067,64.0,14257.072844731563,3.2454506079005654e-11,5.433141960916658e-10,3.2454506079005654e-11,3.2454506079005654e-11
dictionary,0.067,64.0,707507679.0,0.11258435397757982,0.11258435397757982,0.0031789146887355457,0.05629217698878991
parent,0.067,128.0,32.0,6.245547855148555e-05,0.000637134419272996,6.245547855148555e-05,6.245547855148555e-05
support,0.067,128.0,28514.145689463126,1.2603888836154131e-20,2.9519031567473305e-19,1.2603888836154131e-20,1.2603888836154131e-20
dictionary,0.067,128.0,1415015358.0,0.012675236760549047,0.012675236760549047,4.0167020123493824e-05,0.006337618380274523
parent,0.082,0.25,0.0625,0.43336548086337745,0.9860181857316298,0.43336548086337745,0.43336548086337745
support,0.082,0.25,37.180249851278994,0.34154569915480437,0.9200444146293232,0.34154569915480437,0.34154569915480437
dictionary,0.082,0.25,822350.0,0.9916014001181036,0.9916014001181036,0.4353341989846709,0.4958007000590518
parent,0.082,0.5,0.125,0.40620334215538284,0.9722318625934948,0.40620334215538284,0.40620334215538284
support,0.082,0.5,74.36049970255799,0.28185143082538655,0.846481724890614,0.28185143082538655,0.28185143082538655
dictionary,0.082,0.5,1644701.0,0.983273326631678,0.983273326631678,0.40893194147414597,0.491636663315839
parent,0.082,1.0,0.25,0.36857700078648536,0.9452347946420162,0.36857700078648536,0.36857700078648536
support,0.082,1.0,148.72099940511598,0.2071080891212626,0.7165313105737892,0.2071080891212626,0.2071080891212626
dictionary,0.082,1.0,3289401.0,0.9668264447811517,0.9668264447811517,0.37228290475445475,0.4834132223905758
parent,0.082,2.0,0.5,0.31752008303296053,0.8934688170019345,0.31752008303296053,0.31752008303296053
support,0.082,2.0,297.44199881023195,0.12410653949496181,0.5134171190325919,0.12410653949496181,0.12410653949496181
dictionary,0.082,2.0,6578803.0,0.9347533647412793,0.9347533647412793,0.322351367085997,0.4673766823706397
parent,0.082,4.0,1.0,0.2510309212524333,0.7982865269548363,0.2510309212524333,0.2510309212524333
