s,h,jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size
0.082,0.1,1.1389311848547059e-08,1.4236639525607608e-09,1.1389312760790961e-08,0.001940494091320133,0,8192
0.082,0.1,1.360241203663263e-08,1.7003014402472151e-09,1.3602414095252372e-08,0.003143090884625721,1,8192
0.082,0.1,1.0994353024208803e-08,1.3742941044342947e-09,1.0994353779146596e-08,0.0017326938128778835,2,8192
0.082,0.1,1.1601688243249211e-08,1.450210965680946e-09,1.1601690314455913e-08,0.0032978674419528176,3,8192
0.082,0.1,1.1228968373690775e-08,1.4036210120758837e-09,1.1228969482025623e-08,0.0023530058128287124,4,8192
0.082,0.1,1.6852267071542977e-08,2.1065331811183873e-09,1.6852273561927175e-08,0.004124902958452026,5,8192
0.082,0.1,1.5695689577271496e-08,1.96196105593025e-09,1.5695694096589793e-08,0.003555951887262765,6,8192
0.082,0.1,1.4111344381738683e-08,1.7639179649371574e-09,1.4111347030704496e-08,0.0027890094475129246,7,8192
0.082,0.1,1.2821160941018692e-08,1.6026450260054168e-09,1.2821163872920278e-08,0.0028812220079181827,8,8192
0.082,0.1,1.2577416984543781e-08,1.5721770851938196e-09,1.2577418196516703e-08,0.002223240976487517,9,8192
0.082,0.1,1.248015858725867e-08,1.5600197786460137e-09,1.2480160019620942e-08,0.002198588091331999,10,8192
0.082,0.1,1.2172240733529717e-08,1.5215300472454555e-09,1.2172242155794051e-08,0.0022932563928783622,11,8192
0.082,0.1,1.1612914319979258e-08,1.4516142456315817e-09,1.1612915739685728e-08,0.0027285535819530082,12,8192
0.082,0.1,1.4550834754789323e-08,1.818854251636786e-09,1.455083772156964e-08,0.0034220563413374094,13,8192
0.082,0.1,1.4873762360915322e-08,1.8592201808805186e-09,1.4873766016400255e-08,0.003428212791034113,14,8192
0.082,0.1,1.3548643250194516e-08,1.6935803483314447e-09,1.3548645104366414e-08,0.0028067883811484506,15,8192
0.082,0.1,1.2367400296777888e-08,1.5459249712081765e-09,1.2367402405227914e-08,0.003205935275389038,16,8192
0.082,0.1,1.5506688008090827e-08,1.9383359091505686e-09,1.550669094763611e-08,0.0033200371957118335,17,8192
0.082,0.1,1.2108905204221123e-08,1.5136130988982923e-09,1.2108906856360338e-08,0.002965568070486313,18,8192
0.082,0.1,1.4599460816487511e-08,1.824932441055387e-09,1.459946596866568e-08,0.003922828400327205,19,8192
0.082,0.1,1.3245508829042365e-08,1.6556884963454429e-09,1.324551226215793e-08,0.003489246149921854,20,8192
0.082,0.1,1.5527230428663504e-08,1.9409036709336104e-09,1.5527234673442252e-08,0.003481017992536195,21,8192
0.082,0.1,1.633987302347608e-08,2.0424837702778775e-09,1.6339884468490855e-08,0.005540656266733279,22,8192
0.082,0.1,1.4904744481903422e-08,1.8630929233884455e-09,1.4904748861087202e-08,0.0036055714730327537,23,8192
