s,phi,matching,identity_gap,next_best_gap,same_label
0.045,0.0,0-1-2-3,0.0,0.14687014672832704,True
0.045,0.024999999999999998,0-1-2-3,0.0,0.14502161888444356,True
0.045,0.049999999999999996,0-1-2-3,0.0,0.14315046386637822,True
0.045,0.075,0-1-2-3,0.0,0.14125697513316937,True
0.045,0.09999999999999999,0-1-2-3,0.0,0.13934144958690983,True
0.045,0.12499999999999999,0-1-2-3,0.0,0.13740418752464548,True
0.045,0.15,0-1-2-3,0.0,0.13544549259000435,True
0.045,0.175,0-1-2-3,0.0,0.13346567172454052,True
0.045,0.19999999999999998,0-1-2-3,0.0,0.13146503511837632,True
0.045,0.22499999999999998,0-1-2-3,0.0,0.1294438961606419,True
0.045,0.24999999999999997,0-1-2-3,0.0,0.12740257138934866,True
0.045,0.27499999999999997,0-1-2-3,0.0,0.12534138044095647,True
0.045,0.3,0-1-2-3,0.0,0.12326064599933556,True
0.045,0.32499999999999996,0-1-2-3,0.0,0.1211606937446485,True
0.045,0.35,0-1-2-3,0.0,0.11904185230151307,True
0.045,0.37499999999999994,0-1-2-3,0.0,0.11690445318703047,True
0.045,0.39999999999999997,0-1-2-3,0.0,0.11474883075827019,True
0.045,0.425,0-1-2-3,0.0,0.11257532215960311,True
0.045,0.44999999999999996,0-1-2-3,0.0,0.11038426726938884,True
0.045,0.475,0-1-2-3,0.0,0.10817600864666141,True
0.045,0.49999999999999994,0-1-2-3,0.0,0.10595089147718602,True
0.045,0.5249999999999999,0-1-2-3,0.0,0.10370926351934844,True
0.045,0.5499999999999999,0-1-2-3,0.0,0.10145147504973374,True
0.045,0.575,0-1-2-3,0.0,0.09917787880833023,True
0.045,0.6,0-1-2-3,0.0,0.09688882994343913,True
0.055,0.0,0-1-2-3,0.0,0.17944803023593123,True
0.055,0.024999999999999998,0-1-2-3,0.0,0.17718873259576357,True
0.055,0.049999999999999996,0-1-2-3,0.0,0.17490180831024024,True
0.055,0.075,0-1-2-3,0.0,0.17258761670595119,True
0.055,0.09999999999999999,0-1-2-3,0.0,0.1702465212845225,True
0.055,0.12499999999999999,0-1-2-3,0.0,0.16787888966310882,True
0.055,0.15,0-1-2-3,0.0,0.16548509351428642,True
0.055,0.175,0-1-2-3,0.0,0.16306550850581875,True
0.055,0.19999999999999998,0-1-2-3,0.0,0.1606205142394018,True
0.055,0.22499999999999998,0-1-2-3,0.0,0.15815049418933075,True
0.055,0.24999999999999997,0-1-2-3,0.0,0.15565583564040847,True
0.055,0.27499999999999997,0-1-2-3,0.0,0.15313692962571385,True
0.055,0.3,0-1-2-3,0.0,0.15059417086359103,True
0.055,0.32499999999999996,0-1-2-3,0.0,0.14802795769452032,True
0.055,0.35,0-1-2-3,0.0,0.14543869201729231,True
0.055,0.37499999999999994,0-1-2-3,0.0,0.14282677922497178,True
0.055,0.39999999999999997,0-1-2-3,0.0,0.1401926281403964,True
0.055,0.425,0-1-2-3,0.0,0.1375366509512624,True
0.055,0.44999999999999996,0-1-2-3,0.0,0.13485926314492275,True
0.055,0.475,0-1-2-3,0.0,0.13216088344274546,True
0.055,0.49999999999999994,0-1-2-3,0.0,0.12944193373412421,True
0.055,0.5249999999999999,0-1-2-3,0.0,0.12670283901024393,True
0.055,0.5499999999999999,0-1-2-3,0.0,0.12394402729740642,True
0.055,0.575,0-1-2-3,0.0,0.1211659295901058,True
0.055,0.6,0-1-2-3,0.0,0.11836897978378341,True
0.067,0.0,0-1-2-3,0.0,0.21849337926582996,True
0.067,0.024999999999999998,0-1-2-3,0.0,0.21574119904725456,True
0.067,0.049999999999999996,0-1-2-3,0.0,0.21295538612837187,True
0.067,0.075,0-1-2-3,0.0,0.21013640920292564,True
0.067,0.09999999999999999,0-1-2-3,0.0,0.20728471218996358,True
0.067,0.12499999999999999,0-1-2-3,0.0,0.20440074396138805,True
0.067,0.15,0-1-2-3,0.0,0.2014849582673518,True
0.067,0.175,0-1-2-3,0.0,0.19853781366103582,True
0.067,0.19999999999999998,0-1-2-3,0.0,0.19555977342271252,True
0.067,0.22499999999999998,0-1-2-3,0.0,0.1925513054835769,True
0.067,0.24999999999999997,0-1-2-3,0.0,0.18951288234882582,True
0.067,0.27499999999999997,0-1-2-3,0.0,0.18644498102050222,True
0.067,0.3,0-1-2-3,0.0,0.18334808291980337,True
0.067,0.32499999999999996,0-1-2-3,0.0,0.18022267380889473,True
0.067,0.35,0-1-2-3,0.0,0.17706924371250662,True
0.067,0.37499999999999994,0-1-2-3,0.0,0.17388828683885965,True
0.067,0.39999999999999997,0-1-2-3,0.0,0.17068030150049474,True
0.067,0.425,0-1-2-3,0.0,0.16744579003451535,True
0.067,0.44999999999999996,0-1-2-3,0.0,0.1641852587226314,True
0.067,0.475,0-1-2-3,0.0,0.16089921771076776,True
0.067,0.49999999999999994,0-1-2-3,0.0,0.1575881809283821,True
0.067,0.5249999999999999,0-1-2-3,0.0,0.15425266600754167,True
0.067,0.5499999999999999,0-1-2-3,0.0,0.1508931942015811,True
0.067,0.575,0-1-2-3,0.0,0.14751029030359825,True
0.067,0.6,0-1-2-3,0.0,0.14410448256459632,True
0.082,0.0,0-1-2-3,0.0,0.2672099508992057,True
0.082,0.024999999999999998,0-1-2-3,0.0,0.26384162174965087,True
0.082,0.049999999999999996,0-1-2-3,0.0,0.2604322627593447,True
0.082,0.075,0-1-2-3,0.0,0.25698241325866283,True
0.082,0.09999999999999999,0-1-2-3,0.0,0.2534926186207336,True
0.082,0.12499999999999999,0-1-2-3,0.0,0.24996343016761527,True
0.082,0.15,0-1-2-3,0.0,0.2463954050754302,True
0.082,0.175,0-1-2-3,0.0,0.24278910627943284,True
0.082,0.19999999999999998,0-1-2-3,0.0,0.23914510237837233,True
0.082,0.22499999999999998,0-1-2-3,0.0,0.2354639675384122,True
0.082,0.24999999999999997,0-1-2-3,0.0,0.2317462813968134,True
0.082,0.27499999999999997,0-1-2-3,0.0,0.22799262896504663,True
0.082,0.3,0-1-2-3,0.0,0.22420360053163563,True
0.082,0.32499999999999996,0-1-2-3,0.0,0.22037979156466575,True
0.082,0.35,0-1-2-3,0.0,0.21652180261385803,True
0.082,0.37499999999999994,0-1-2-3,0.0,0.2126302392125407,True
0.082,0.39999999999999997,0-1-2-3,0.0,0.20870571177911787,True
0.082,0.425,0-1-2-3,0.0,0.20474883551848538,True
0.082,0.44999999999999996,0-1-2-3,0.0,0.20076023032306273,True
0.082,0.475,0-1-2-3,0.0,0.19674052067370915,True
0.082,0.49999999999999994,0-1-2-3,0.0,0.19269033554035592,True
0.082,0.5249999999999999,0-1-2-3,0.0,0.1886103082825443,True
0.082,0.5499999999999999,0-1-2-3,0.0,0.18450107654971284,True
0.082,0.575,0-1-2-3,0.0,0.18036328218141906,True
0.082,0.6,0-1-2-3,0.0,0.17619757110735926,True
0.1,0.0,0-1-2-3,0.0,0.3255081497528981,True
0.1,0.024999999999999998,0-1-2-3,0.0,0.32140051594621366,True
0.1,0.049999999999999996,0-1-2-3,0.0,0.3172430177774709,True
0.1,0.075,0-1-2-3,0.0,0.31303631686157196,True
0.1,0.09999999999999999,0-1-2-3,0.0,0.30878108198571147,True
0.1,0.12499999999999999,0-1-2-3,0.0,0.3044779889891219,True
0.1,0.15,0-1-2-3,0.0,0.3001277206419662,True
0.1,0.175,0-1-2-3,0.0,0.29573096652419195,True
0.1,0.19999999999999998,0-1-2-3,0.0,0.2912884229038963,True
0.1,0.22499999999999998,0-1-2-3,0.0,0.2868007926156509,True
0.1,0.24999999999999997,0-1-2-3,0.0,0.28226878493852214,True
0.1,0.27499999999999997,0-1-2-3,0.0,0.2776931154739609,True
