s,phi,contrast,numerical_residual,analytic_residual,absolute_error,relative_error
0.045,0.0,0.0,6.663106641993386e-16,0.0,6.663106641993386e-16,
0.045,0.0,0.25,4.447392553941794e-16,0.0,4.447392553941794e-16,
0.045,0.0,0.5,2.22207175737481e-16,0.0,2.22207175737481e-16,
0.045,0.024999999999999998,0.0,6.663107205182475e-16,0.0,6.663107205182475e-16,
0.045,0.024999999999999998,0.25,0.000229615743335169,0.00022961574333516742,1.5720931501039814e-18,6.846626138388148e-15
0.045,0.024999999999999998,0.5,0.0004592314866703377,0.00045923148667033483,2.8731357570865868e-18,6.25639974714779e-15
0.045,0.049999999999999996,0.0,2.2217702342308543e-16,0.0,2.2217702342308543e-16,
0.045,0.049999999999999996,0.25,0.0004590879843050649,0.00045908798430506546,5.421010862427522e-19,1.1808217700651566e-15
0.045,0.049999999999999996,0.5,0.0009181759686101313,0.0009181759686101309,3.2526065174565133e-19,3.54246531019547e-16
0.045,0.075,0.0,4.450106268988593e-16,0.0,4.450106268988593e-16,
0.045,0.075,0.25,0.0006882733102287323,0.0006882733102287319,4.336808689942018e-19,6.30099791099088e-16
0.045,0.075,0.5,0.0013765466204574651,0.0013765466204574638,1.3010426069826053e-18,9.45149686648632e-16
0.045,0.09999999999999999,0.0,2.2217769835716193e-16,0.0,2.2217769835716193e-16,
0.045,0.09999999999999999,0.25,0.0009170284877377694,0.0009170284877377686,7.589415207398531e-19,8.27609535459577e-16
0.045,0.09999999999999999,0.5,0.0018340569754755388,0.0018340569754755373,1.5178830414797062e-18,8.27609535459577e-16
0.045,0.12499999999999999,0.0,6.663417490609434e-16,0.0,6.663417490609434e-16,
0.045,0.12499999999999999,0.25,0.0011452105522925325,0.001145210552292535,2.6020852139652106e-18,2.272145684264118e-15
0.045,0.12499999999999999,0.5,0.0022904211045850684,0.00229042110458507,1.734723475976807e-18,7.57381894754706e-16
0.045,0.15,0.0,4.446055103743135e-16,0.0,4.446055103743135e-16,
0.045,0.15,0.25,0.0013726768975303308,0.0013726768975303317,8.673617379884035e-19,6.318761097742141e-16
0.045,0.15,0.5,0.002745353795060663,0.0027453537950606634,4.336808689942018e-19,1.5796902744355353e-16
0.045,0.175,0.0,4.443077090510301e-16,0.0,4.443077090510301e-16,
0.045,0.175,0.25,0.0015992853643897328,0.0015992853643897334,6.505213034913027e-19,4.0675749179980345e-16
0.045,0.175,0.5,0.003198570728779467,0.003198570728779467,0.0,0.0
